atleta_id,nome_popular,nome,time_id
2,Fábio,Fábio Deivson Lopes Maciel,1
3,Marcelo Moreno,Marcelo Martins Moreno,1
4,Rafael Sóbis,Rafael Augusto Sobis,1
5,Pedro Castro,Pedro Henrique de Castro Silva,6
6,Rodrigão,Rodrigo Gomes dos Santos,6
7,Renato,José Renato da Silva Júnior,6
8,Honda,Keisuke Honda,4
9,Victor Luis,Victor Luis Chuab Zamblauskas,4
10,Salomon Kalou,Salomon Armand Magloire Kalou,4
11,Gabigol,Gabriel Barbosa Almeida,10
12,Arrascaeta,Giorgian Daniel De Arrascaeta Benedetti,10
13,Rodrigo Caio,Rodrigo Caio Coquette Russo,10
14,Eduardo Sasha,Eduardo Colcenti Antunes,8
15,Keno,Marcos da Silva França,8
16,Marrony,Marrony da Silva Liberato,8
17,Messias,Messias Rodrigues da Silva Júnior,25
18,Zé Ricardo,José Ricardo Barbosa Ribeiro Drumond,25
19,Matheusinho,Matheus Leonardo Sales Cardoso,25
